CVE_ID,CVE_Description,Labels,Ignored_Labels,Remained_Labels
CVE-2020-7517,A CWE-316: Cleartext Storage of Sensitive Information in Memory vulnerability exists in Easergy Builder V1.4.7.2 and prior which could allow an attacker access to login credentials.,"['T1005', 'T1552.004']",[],"['T1005', 'T1552.004']"
CVE-2020-7518,A CWE-312: Cleartext Storage of Sensitive Information vulnerability exists in Easergy Builder (Version 1.4.7.2 and older) which could allow an attacker to read user credentials.,"['T1005', 'T1552.004']",[],"['T1005', 'T1552.004']"
CVE-2020-7519,A CWE-20: Improper input validation vulnerability exists in Easergy Builder (Version 1.4.7.2 and older) which could allow an attacker to modify project configuration files.,"['T1548', 'T1027', 'T1562.003', 'T1574.006', 'T1574.007', 'T1499.003', 'T1539', 'T1036.001', 'T1553.002', 'T1036.003', 'T1070', 'T1562.002', 'T1562.008', 'T1082', 'T1217', 'T1592', 'T1595']",[],"['T1548', 'T1027', 'T1562.003', 'T1574.006', 'T1574.007', 'T1499.003', 'T1539', 'T1036.001', 'T1553.002', 'T1036.003', 'T1070', 'T1562.002', 'T1562.008', 'T1082', 'T1217', 'T1592', 'T1595']"
CVE-2020-7521,A CWE-521: Weak Password Requirements vulnerability exists in Easergy Builder (Version 1.4.7.2 and older) which could allow an attacker to compromise a user account.,"['T1110', 'T1110.001', 'T1558.003', 'T1558', 'T1078', 'T1110.002', 'T1021', 'T1114.002', 'T1133', 'T1021.002', 'T1110.003', 'T1078.001']",[],"['T1110', 'T1110.001', 'T1558.003', 'T1558', 'T1078', 'T1110.002', 'T1021', 'T1114.002', 'T1133', 'T1021.002', 'T1110.003', 'T1078.001']"
CVE-2020-7540,"A CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal' Vulnerability Type) vulnerability exists in the Web Server on Modicon M340, Legacy Offers Modicon Quantum and Modicon Premium and associated Communication Modules (see security notification for affected versions), that could cause disclosure of information when sending a specially crafted request to the controller over HTTP.",['T1027'],[],['T1027']
CVE-2020-7541,"A CWE-306: Missing Authentication for Critical Function vulnerability exists in the Web Server on Modicon M340, Legacy Offers Modicon Quantum and Modicon Premium and associated Communication Modules (see security notification for affected versions), that could cause unauthenticated command execution in the controller when sending special HTTP requests.","['T1134', 'T1528', 'T1539']",[],"['T1134', 'T1528', 'T1539']"
CVE-2020-7544,"A CWE-425: Direct Request ('Forced Browsing') vulnerability exists in the Web Server on Modicon M340, Legacy Offers Modicon Quantum and Modicon Premium and associated Communication Modules (see security notification for affected versions), that could cause disclosure of sensitive data when sending a specially crafted request to the controller over HTTP.","['T1083', 'T1003', 'T1119', 'T1213', 'T1530', 'T1555', 'T1602', 'T1565.002', 'T1548']",[],"['T1083', 'T1003', 'T1119', 'T1213', 'T1530', 'T1555', 'T1602', 'T1565.002', 'T1548']"
CVE-2020-7546,A CWE-269 Improper Privilege Management vulnerability exists in EcoStruxureÂª Operator Terminal Expert runtime (Vijeo XD) that could cause privilege escalation on the workstation when interacting directly with a driver installed by the runtime software of EcoStruxureÂª Operator Terminal Expert.,"['T1548', 'T1574.010']",[],"['T1548', 'T1574.010']"
CVE-2020-7548,A CWE-79: Improper Neutralization of Input During Web Page Generation vulnerability exists in EcoStruxureÂª and SmartStruxureÂª Power Monitoring and SCADA Software (see security notification for version information) that could allow an attacker to perform actions on behalf of the authorized user when accessing an affected webpage.,"['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2020-7561,"A CWE-330 - Use of Insufficiently Random Values vulnerability exists in Smartlink, PowerTag, and Wiser Series Gateways (see security notification for version information) that could allow unauthorized users to login.","['T1110', 'T1552.004', 'T1036.001', 'T1553.002', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539']",[],"['T1110', 'T1552.004', 'T1036.001', 'T1553.002', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539']"
CVE-2020-7565,"A CWE-306: Missing Authentication for Critical Function vulnerability exists in Easergy T300 (with firmware 2.7 and older) that could cause a wide range of problems, including information exposure, denial of service, and command execution when access to a resource from an attacker is not restricted or incorrectly restricted.","['T1027.009', 'T1546.004', 'T1546.016', 'T1574.011', 'T1543.003', 'T1112', 'T1647', 'T1553.004', 'T1036.001', 'T1553.002', 'T1491', 'T1548', 'T1005', 'T1555.001', 'T1543', 'T1587.001', 'T1027', 'T1014', 'T1542.003', 'T1547.006', 'T1546.001', 'T1505.005', 'T1546.008', 'T1080', 'T1574.005', 'T1574.010', 'T1037', 'T1543.001', 'T1543.004', 'T1547', 'T1556.006', 'T1562.001', 'T1562.002', 'T1562.004', 'T1562.007', 'T1562.008', 'T1562.009']",[],"['T1027.009', 'T1546.004', 'T1546.016', 'T1574.011', 'T1543.003', 'T1112', 'T1647', 'T1553.004', 'T1036.001', 'T1553.002', 'T1491', 'T1548', 'T1005', 'T1555.001', 'T1543', 'T1587.001', 'T1027', 'T1014', 'T1542.003', 'T1547.006', 'T1546.001', 'T1505.005', 'T1546.008', 'T1080', 'T1574.005', 'T1574.010', 'T1037', 'T1543.001', 'T1543.004', 'T1547', 'T1556.006', 'T1562.001', 'T1562.002', 'T1562.004', 'T1562.007', 'T1562.008', 'T1562.009']"
CVE-2020-7567,"A CWE-326: Inadequate Encryption Strength vulnerability exists in Modicon M221 (all references, all versions) that could allow the attacker to break the encryption key when the attacker has captured the traffic between EcoStruxure Machine - Basic software and Modicon M221 controller.",['T1110'],[],['T1110']
CVE-2020-7568,"A CWE-311: Missing Encryption of Sensitive Data vulnerability exists in Modicon M221 (all references, all versions) that could allow the attacker to find the password hash when the attacker has captured the traffic between EcoStruxure Machine - Basic software and Modicon M221 controller and broke the encryption keys.","['T1040', 'T1111', 'T1005', 'T1539', 'T1552.004', 'T1056.004', 'T1589', 'T1557', 'T1036.001', 'T1553.002']",[],"['T1040', 'T1111', 'T1005', 'T1539', 'T1552.004', 'T1056.004', 'T1589', 'T1557', 'T1036.001', 'T1553.002']"
CVE-2020-7569,"A CWE-200: Exposure of Sensitive Information to an Unauthorized Actor vulnerability exists in Modicon M221 (all references, all versions) that could allow non sensitive information disclosure when the attacker has captured the traffic between EcoStruxure Machine - Basic software and Modicon M221 controller.","['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']",[],"['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']"
CVE-2020-7570,A CWE-434 Unrestricted Upload of File with Dangerous Type vulnerability exists in EcoStruxure Building Operation WebReports V1.9 - V3.1 that could cause an authenticated remote user being able to upload arbitrary files due to incorrect verification of user supplied files and achieve remote code execution.,"['T1574.010', 'T1548']",[],"['T1574.010', 'T1548']"
CVE-2020-7571,A CWE-79 Improper Neutralization of Input During Web Page Generation (Cross-site Scripting Stored) vulnerability exists in EcoStruxure Building Operation WebReports V1.9 - V3.1 that could cause an authenticated remote user being able to inject arbitrary web script or HTML due to incorrect sanitization of user-supplied data and achieve a Cross-Site Scripting stored attack against other WebReport users.,"['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2020-7572,A CWE-79 Multiple Improper Neutralization of Input During Web Page Generation (Cross-site Scripting Reflected) vulnerability exists in EcoStruxure Building Operation WebReports V1.9 - V3.1 that could cause a remote attacker to inject arbitrary web script or HTML due to incorrect sanitization of user supplied data and achieve a Cross-Site Scripting reflected attack against other WebReport users.,"['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2020-7574,"A CWE-611 Improper Restriction of XML External Entity Reference vulnerability exists in EcoStruxure Building Operation WebReports V1.9 - V3.1 that could cause an authenticated remote user being able to inject arbitrary XML code and obtain disclosure of confidential data, denial of service, server side request forgery due to improper configuration of the XML parser.",['T1499.003'],[],['T1499.003']
CVE-2020-7575,"A vulnerability has been identified in Climatix POL908 (BACnet/IP module) (All versions), Climatix POL909 (AWM module) (All versions < V11.32). A persistent cross-site scripting (XSS) vulnerability exists in the ""Server Config"" web interface of the affected devices that could allow an attacker to inject arbitrary JavaScript code. The code could be potentially executed later by another (possibly privileged) user. The security vulnerability could be exploited by an attacker with network access to the affected system. Successful exploitation requires no system privileges. An attacker could use the vulnerability to compromise the confidentiality and integrity of other users' web session.","['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2020-7576,"A vulnerability has been identified in Climatix POL908 (BACnet/IP module) (All versions), Climatix POL909 (AWM module) (All versions < V11.32). A persistent cross-site scripting (XSS) vulnerability exists in the web server access log page of the affected devices that could allow an attacker to inject arbitrary JavaScript code via specially crafted GET requests. The code could be potentially executed later by another (privileged) user. The security vulnerability could be exploited by an attacker with network access to the affected system. Successful exploitation requires no system privileges. An attacker could use the vulnerability to compromise the confidentiality and integrity of other users' web sessions.","['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2020-7578,"A vulnerability has been identified in Camstar Enterprise Platform (All versions), Opcenter Execution Core (All versions < V8.2), Opcenter Execution Core (V8.2). An authenticated user with the ability to create containers, packages or register defects could perform stored Cross-Site Scripting (XSS) attacks within the vulnerable software. The impact of this attack could result in the session cookies of legitimate users being stolen. Should the attacker gain access to these cookies, they could then hijack the session and perform arbitrary actions in the name of the victim.","['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2020-7579,"A vulnerability has been identified in Camstar Enterprise Platform (All versions), Opcenter Execution Core (All versions < V8.2). Authenticated users could have access to resources they normally would not have. This vulnerability could allow an attacker to view internal information and perform unauthorized changes.","['T1548', 'T1574.010']",[],"['T1548', 'T1574.010']"
CVE-2020-7584,"A vulnerability has been identified in Spectrum Powerâ„¢ 5 (All versions < v5.50 HF02). The web server could allow Cross-Site Scripting (XSS) attacks if unsuspecting users are tricked into accessing a malicious link. User interaction is required for a successful exploitation. If deployed according to recommended system configuration, Siemens consideres the environmental vector as CR:L/IR:M/AR:H/MAV:A (4.1).","['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2020-7585,A vulnerability has been identified in SIMATIC S7-200 SMART CPU family (All versions >= V2.2 < V2.5.1). Affected devices do not properly handle large numbers of new incomming connections and could crash under certain circumstances. An attacker may leverage this to cause a Denial-of-Service situation.,"['T1499.002', 'T1498.001', 'T1499', 'T1499.003']",[],"['T1499.002', 'T1498.001', 'T1499', 'T1499.003']"
CVE-2020-7587,"A vulnerability has been identified in SIMATIC PCS 7 V8.2 and earlier (All versions), SIMATIC PCS 7 V9.0 (All versions < V9.0 SP3), SIMATIC PDM (All versions < V9.2), SIMATIC STEP 7 V5.X (All versions < V5.6 SP2 HF3), SINAMICS STARTER (containing STEP 7 OEM version) (All versions < V5.4 HF2). A DLL Hijacking vulnerability could allow a local attacker to execute code with elevated privileges. The security vulnerability could be exploited by an attacker with local access to the affected systems. Successful exploitation requires user privileges but no user interaction. The vulnerability could allow an attacker to compromise the availability of the system as well as to have access to confidential information.","['T1574.007', 'T1574.009', 'T1574.008', 'T1574.001', 'T1574.004']",[],"['T1574.007', 'T1574.009', 'T1574.008', 'T1574.001', 'T1574.004']"
