Report_ID,Main_Sentence,Sub_Sentences,Content_Context_BERT,Is_Attack_Pattern
CVE-2021-24905,"The Advanced Contact form 7 DB WordPress plugin before 1.8.7 does not have authorisation nor CSRF checks in the acf7_db_edit_scr_file_delete AJAX action, and does not validate the file to be deleted, allowing any authenticated user to delete arbitrary files on the web server.",allowing any authenticated user to delete arbitrary files on the web server,"allowing any authenticated user to delete arbitrary files on the web server [SEP] The Advanced Contact form 7 DB WordPress plugin before 1.8.7 does not have authorisation nor CSRF checks in the acf7_db_edit_scr_file_delete AJAX action, and does not validate the file to be deleted, allowing any authenticated user to delete arbitrary files on the web server.",1
CVE-2023-42143,Missing Integrity Check in Shelly TRV 20220811-152343/v2.1.8@5afc928c allows malicious users to create a backdoor by redirecting the device to an attacker-controlled machine which serves the manipulated firmware file.,malicious users create a backdoor by redirecting the device to an attacker-controlled machine which serves the manipulated firmware file,malicious users create a backdoor by redirecting the device to an attacker-controlled machine which serves the manipulated firmware file [SEP] Missing Integrity Check in Shelly TRV 20220811-152343/v2.1.8@5afc928c allows malicious users to create a backdoor by redirecting the device to an attacker-controlled machine which serves the manipulated firmware file.,1
CVE-2022-36064,"An Inefficient Regular Expression Complexity vulnerability impacts users that use Shescape to escape arguments for the Unix shells `Bash` and `Dash`, or any not-officially-supported Unix shell; and/or using the `escape` or `escapeAll` functions with the `interpolation` option set to `true`.",using the ` escape ` or ` escapeAll ` functions with the ` interpolation ` option set to ` true `,"using the ` escape ` or ` escapeAll ` functions with the ` interpolation ` option set to ` true ` [SEP] An Inefficient Regular Expression Complexity vulnerability impacts users that use Shescape to escape arguments for the Unix shells `Bash` and `Dash`, or any not-officially-supported Unix shell; and/or using the `escape` or `escapeAll` functions with the `interpolation` option set to `true`.",0
CVE-2022-24825,"Smokescreen also offers an option to deny access to additional (e.g., external) URLs by way of a deny list.","deny access to additional (e.g., external) URLs by way of a deny list","deny access to additional (e.g., external) URLs by way of a deny list [SEP] Smokescreen also offers an option to deny access to additional (e.g., external) URLs by way of a deny list.",0
CVE-2021-40847,"As such, an attacker with the ability to perform a MitM attack on the device can respond to circled update requests with a crafted, compressed database file, the extraction of which gives the attacker the ability to overwrite executable files with attacker-controlled code.","As such an attacker with the ability to perform a MitM attack on the device can respond to circled update requests with a crafted, compressed database file, the extraction of which gives the attacker the ability to overwrite executable files with attacker-controlled code","As such an attacker with the ability to perform a MitM attack on the device can respond to circled update requests with a crafted, compressed database file, the extraction of which gives the attacker the ability to overwrite executable files with attacker-controlled code [SEP] As such, an attacker with the ability to perform a MitM attack on the device can respond to circled update requests with a crafted, compressed database file, the extraction of which gives the attacker the ability to overwrite executable files with attacker-controlled code.",1
CVE-2021-46384,Â¶Â¶ MCMS has a pre-auth RCE vulnerability through which allows unauthenticated attacker with network access via http to compromise MCMS.,a pre-auth RCE vulnerability through which allows unauthenticated attacker with network access via http to compromise MCMS,a pre-auth RCE vulnerability through which allows unauthenticated attacker with network access via http to compromise MCMS [SEP] Â¶Â¶ MCMS has a pre-auth RCE vulnerability through which allows unauthenticated attacker with network access via http to compromise MCMS.,1
CVE-2018-15438,A successful exploit could allow the attacker to use a web browser to perform arbitrary actions with the privileges of the user on an affected system.,A successful exploit could allow the attacker to use a web browser to perform arbitrary actions with the privileges of the user on an affected system,A successful exploit could allow the attacker to use a web browser to perform arbitrary actions with the privileges of the user on an affected system,1
CVE-2012-1015,"The kdc_handle_protected_negotiation function in the Key Distribution Center (KDC) in MIT Kerberos 5 (aka krb5) 1.8.x, 1.9.x before 1.9.5, and 1.10.x before 1.10.3 attempts to calculate a checksum before verifying that the key type is appropriate for a checksum, which allows remote attackers to execute arbitrary code or cause a denial of service (uninitialized pointer free, heap memory corruption, and daemon crash) via a crafted AS-REQ request.","the key type is appropriate for a checksum, which allows remote attackers to execute arbitrary code or cause a denial of service (uninitialized pointer free, heap memory corruption, and daemon crash)","the key type is appropriate for a checksum, which allows remote attackers to execute arbitrary code or cause a denial of service (uninitialized pointer free, heap memory corruption, and daemon crash) [SEP] The kdc_handle_protected_negotiation function in the Key Distribution Center (KDC) in MIT Kerberos 5 (aka krb5) 1.8.x, 1.9.x before 1.9.5, and 1.10.x before 1.10.3 attempts to calculate a checksum before verifying that the key type is appropriate for a checksum, which allows remote attackers to execute arbitrary code or cause a denial of service (uninitialized pointer free, heap memory corruption, and daemon crash) via a crafted AS-REQ request.",1
CVE-2015-8631,Multiple memory leaks in kadmin/server/server_stubs.c in kadmind in MIT Kerberos 5 (aka krb5) before 1.13.4 and 1.14.x before 1.14.1 allow remote authenticated users to cause a denial of service (memory consumption) via a request specifying a NULL principal name.,remote authenticated users cause a denial of service (memory consumption) via a request specifying a NULL principal name,remote authenticated users cause a denial of service (memory consumption) via a request specifying a NULL principal name [SEP] Multiple memory leaks in kadmin/server/server_stubs.c in kadmind in MIT Kerberos 5 (aka krb5) before 1.13.4 and 1.14.x before 1.14.1 allow remote authenticated users to cause a denial of service (memory consumption) via a request specifying a NULL principal name.,1
CVE-2020-14254,If TLS 2.0 and secure ciphers are not enabled then an attacker can passively record traffic and later decrypt it.,If TLS 2.0 and secure ciphers are not enabled then an attacker can passively record traffic,If TLS 2.0 and secure ciphers are not enabled then an attacker can passively record traffic [SEP] If TLS 2.0 and secure ciphers are not enabled then an attacker can passively record traffic and later decrypt it.,1
CVE-2022-23391,A cross-site scripting (XSS) vulnerability in Pybbs v6.0 allows attackers to execute arbitrary web scripts or HTML via a crafted payload inserted into the Search box.,a crafted payload inserted into the Search box,a crafted payload inserted into the Search box [SEP] A cross-site scripting (XSS) vulnerability in Pybbs v6.0 allows attackers to execute arbitrary web scripts or HTML via a crafted payload inserted into the Search box.,1
CVE-2017-5246,Affected versions are 5.0.0000 through 5.1.1026.,Affected versions are 5.0.0000 through 5.1.1026,Affected versions are 5.0.0000 through 5.1.1026,0
CVE-2021-32518,The referred vulnerability has been solved with the updated version of QSAN Storage Manager v3.3.3.,The referred vulnerability solved with the updated version of QSAN Storage Manager v3.3.3,The referred vulnerability solved with the updated version of QSAN Storage Manager v3.3.3 [SEP] The referred vulnerability has been solved with the updated version of QSAN Storage Manager v3.3.3.,0
CVE-2018-10911,An attacker could use this flaw to read memory from other locations into the stored dict value.,An attacker read memory from other locations into the stored dict value,An attacker read memory from other locations into the stored dict value [SEP] An attacker could use this flaw to read memory from other locations into the stored dict value.,1
CVE-2019-1599,Note: This vulnerability can be triggered only by traffic that is destined to an affected device and cannot be exploited using traffic that transits an affected device.,This vulnerability can triggered only by traffic that is destined to an affected device and can not be exploited using traffic that transits an affected device,This vulnerability can triggered only by traffic that is destined to an affected device and can not be exploited using traffic that transits an affected device [SEP] Note: This vulnerability can be triggered only by traffic that is destined to an affected device and cannot be exploited using traffic that transits an affected device.,1
CVE-2022-24040,An attacker with the user profile access privilege could cause a denial of service (DoS) condition through CPU consumption by setting a PBKDF2 derived key with a remarkably high cost effort and then attempting a login to the so-modified account.,An attacker with the user profile access privilege then attempting a login to the so-modified account,An attacker with the user profile access privilege then attempting a login to the so-modified account [SEP] An attacker with the user profile access privilege could cause a denial of service (DoS) condition through CPU consumption by setting a PBKDF2 derived key with a remarkably high cost effort and then attempting a login to the so-modified account.,1
CVE-2020-7585,A DLL Hijacking vulnerability could allow a local attacker to execute code with elevated privileges.,A DLL Hijacking vulnerability could allow a local attacker to execute code with elevated privileges,A DLL Hijacking vulnerability could allow a local attacker to execute code with elevated privileges,1
CVE-2011-5238,"google-checkout-php-sample-code before 1.3.2 does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate.","the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate","the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate [SEP] google-checkout-php-sample-code before 1.3.2 does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate.",1
CVE-2022-0150,"The WP Accessibility Helper (WAH) WordPress plugin before 0.6.0.7 does not sanitise and escape the wahi parameter before outputting back its base64 decode value in the page, leading to a Reflected Cross-Site Scripting issue",Reflected Cross-Site Scripting issue,"Reflected Cross-Site Scripting issue [SEP] The WP Accessibility Helper (WAH) WordPress plugin before 0.6.0.7 does not sanitise and escape the wahi parameter before outputting back its base64 decode value in the page, leading to a Reflected Cross-Site Scripting issue",1
CVE-2021-23824,"When using attributes without quotes in the template, an attacker can manipulate the input to introduce additional attributes, potentially executing code.",an attacker potentially executing code,"an attacker potentially executing code [SEP] When using attributes without quotes in the template, an attacker can manipulate the input to introduce additional attributes, potentially executing code.",1
CVE-2018-10934,Users with roles that can create objects in the application can exploit this to attack other privileged users.,roles that can create objects in the application,roles that can create objects in the application [SEP] Users with roles that can create objects in the application can exploit this to attack other privileged users.,0
CVE-2018-10133,"PbootCMS v0.9.8 allows PHP code injection via an IF label in index.php/About/6.html or admin.php/Site/index.html, related to the parserIfLabel function in \apps\home\controller\ParserController.php.",an IF label in index.php/About/6.html or admin.php/Site/index.html related to the parserIfLabel function in \apps\home\controller\ParserController.php,"an IF label in index.php/About/6.html or admin.php/Site/index.html related to the parserIfLabel function in \apps\home\controller\ParserController.php [SEP] PbootCMS v0.9.8 allows PHP code injection via an IF label in index.php/About/6.html or admin.php/Site/index.html, related to the parserIfLabel function in \apps\home\controller\ParserController.php.",0
CVE-2019-13477,"In CentOS-WebPanel.com (aka CWP) CentOS Web Panel 0.9.8.837, CSRF in the forgot password function allows an attacker to change the password for the root account.",CSRF in the forgot password function,"CSRF in the forgot password function [SEP] In CentOS-WebPanel.com (aka CWP) CentOS Web Panel 0.9.8.837, CSRF in the forgot password function allows an attacker to change the password for the root account.",1
CVE-2014-0600,"FileUploadServlet in the Administration service in Novell GroupWise 2014 before SP1 allows remote attackers to read or write to arbitrary files via the poLibMaintenanceFileSave parameter, aka ZDI-CAN-2287.","FileUploadServlet in the Administration service in Novell GroupWise 2014 before SP1 allows remote attackers to read or write to arbitrary files via the poLibMaintenanceFileSave parameter, aka ZDI-CAN-2287","FileUploadServlet in the Administration service in Novell GroupWise 2014 before SP1 allows remote attackers to read or write to arbitrary files via the poLibMaintenanceFileSave parameter, aka ZDI-CAN-2287",1
CVE-2023-45815,"Malicious Javascript could potentially act using your logged-in admin credentials and add/remove/modify snapshots, add/remove/modify ArchiveBox users, and generally do anything an admin user could do.",anything an admin user could do,"anything an admin user could do [SEP] Malicious Javascript could potentially act using your logged-in admin credentials and add/remove/modify snapshots, add/remove/modify ArchiveBox users, and generally do anything an admin user could do.",0
CVE-2022-39279,"In versions prior to 0.9 some places render a chat channel's name and description in an unsafe way, allowing staff members to cause an cross site scripting (XSS) attack by inserting unsafe HTML into them.",staff members cause an cross site scripting (XSS) attack by inserting unsafe HTML into them,"staff members cause an cross site scripting (XSS) attack by inserting unsafe HTML into them [SEP] In versions prior to 0.9 some places render a chat channel's name and description in an unsafe way, allowing staff members to cause an cross site scripting (XSS) attack by inserting unsafe HTML into them.",1
CVE-2012-5822,"The contribution feature in Zamboni does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate, related to use of the Python urllib2 library.",an arbitrary valid certificate related to use of the Python urllib2 library,"an arbitrary valid certificate related to use of the Python urllib2 library [SEP] The contribution feature in Zamboni does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate, related to use of the Python urllib2 library.",1
CVE-2022-4590,It has been classified as problematic.,It classified as problematic,It classified as problematic [SEP] It has been classified as problematic.,0
CVE-2023-32454,"A local malicious standard user could exploit the vulnerability to create arbitrary files, leading to denial of service",leading to denial of service,"leading to denial of service [SEP] A local malicious standard user could exploit the vulnerability to create arbitrary files, leading to denial of service",1
CVE-2019-12513,"In NETGEAR Nighthawk X10-R900 prior to 1.0.4.24, by sending a DHCP discover request containing a malicious hostname field, an attacker may execute stored XSS attacks against this device.",request containing a malicious hostname field,"request containing a malicious hostname field [SEP] In NETGEAR Nighthawk X10-R900 prior to 1.0.4.24, by sending a DHCP discover request containing a malicious hostname field, an attacker may execute stored XSS attacks against this device.",1
CVE-2023-40097,This could lead to local escalation of privilege with no additional execution privileges needed.,This could lead to local escalation of privilege with no additional execution privileges needed,This could lead to local escalation of privilege with no additional execution privileges needed,1
CVE-2021-32811,"By default, one must have the admin-level Zope ""Manager"" role to add or edit Script (Python) objects through the web.",Script (Python) objects,"Script (Python) objects [SEP] By default, one must have the admin-level Zope ""Manager"" role to add or edit Script (Python) objects through the web.",0
CVE-2023-22932,"In Splunk Enterprise 9.0 versions before 9.0.4, a View allows for Cross-Site Scripting (XSS) through the error message in a Base64-encoded image.",Base64 encoded image,"Base64 encoded image [SEP] In Splunk Enterprise 9.0 versions before 9.0.4, a View allows for Cross-Site Scripting (XSS) through the error message in a Base64-encoded image.",0
CVE-2008-6956,"Static code injection vulnerability in admin/admin.php in mxCamArchive 2.2 allows remote authenticated administrators to inject arbitrary PHP code into an unspecified program via the description parameter, which is executed by invocation of index.php.","remote authenticated administrators inject arbitrary PHP code into an unspecified program via the description parameter, which is executed by invocation of index.php","remote authenticated administrators inject arbitrary PHP code into an unspecified program via the description parameter, which is executed by invocation of index.php [SEP] Static code injection vulnerability in admin/admin.php in mxCamArchive 2.2 allows remote authenticated administrators to inject arbitrary PHP code into an unspecified program via the description parameter, which is executed by invocation of index.php.",1
CVE-2022-35490,"An attacker might work around this prevention, enabling them to send more than the configured amount of requests before the user invalidation takes place.",the user invalidation takes place,"the user invalidation takes place [SEP] An attacker might work around this prevention, enabling them to send more than the configured amount of requests before the user invalidation takes place.",1
CVE-2021-29806,This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.,This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session,This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session,1
CVE-2024-0448,This makes it possible for authenticated attackers with contributor access or higher to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.,This makes it possible for authenticated attackers with contributor access or higher to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page,This makes it possible for authenticated attackers with contributor access or higher to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page,1
CVE-2022-1797,"A malformed Class 3 common industrial protocol message with a cached connection can cause a denial-of-service condition in Rockwell Automation Logix Controllers, resulting in a major nonrecoverable fault.",cached connection,"cached connection [SEP] A malformed Class 3 common industrial protocol message with a cached connection can cause a denial-of-service condition in Rockwell Automation Logix Controllers, resulting in a major nonrecoverable fault.",0
CVE-2023-38500,"TYPO3 HTML Sanitizer is an HTML sanitizer, written in PHP, aiming to provide cross-site-scripting-safe markup based on explicitly allowed tags, attributes and values.","an HTML sanitizer provide cross-site-scripting-safe markup based on explicitly allowed tags, attributes and values","an HTML sanitizer provide cross-site-scripting-safe markup based on explicitly allowed tags, attributes and values [SEP] TYPO3 HTML Sanitizer is an HTML sanitizer, written in PHP, aiming to provide cross-site-scripting-safe markup based on explicitly allowed tags, attributes and values.",1
CVE-2018-12414,"Affected releases are TIBCO Software Inc.'s TIBCO Rendezvous: versions up to and including 8.4.5, TIBCO Rendezvous Developer Edition: versions up to and including 8.4.5, TIBCO Rendezvous for z/Linux: versions up to and including 8.4.5, TIBCO Rendezvous for z/OS: versions up to and including 8.4.5, TIBCO Rendezvous Network Server: versions up to and including 1.1.2, and TIBCO Substation ES: versions up to and including 2.12.2.",versions including 2.12.2,"versions including 2.12.2 [SEP] Affected releases are TIBCO Software Inc.'s TIBCO Rendezvous: versions up to and including 8.4.5, TIBCO Rendezvous Developer Edition: versions up to and including 8.4.5, TIBCO Rendezvous for z/Linux: versions up to and including 8.4.5, TIBCO Rendezvous for z/OS: versions up to and including 8.4.5, TIBCO Rendezvous Network Server: versions up to and including 1.1.2, and TIBCO Substation ES: versions up to and including 2.12.2.",0
CVE-2022-26866,"A high privileged network attacker could potentially exploit this vulnerability, leading to the storage of malicious HTML or JavaScript codes in a trusted application data store.",A high privileged network attacker could potentially exploit this vulnerability leading to the storage of malicious HTML or JavaScript codes in a trusted application data store,"A high privileged network attacker could potentially exploit this vulnerability leading to the storage of malicious HTML or JavaScript codes in a trusted application data store [SEP] A high privileged network attacker could potentially exploit this vulnerability, leading to the storage of malicious HTML or JavaScript codes in a trusted application data store.",1
CVE-2021-44202,Stored cross-site scripting (XSS) was possible in activity details.,Stored cross-site scripting (XSS),Stored cross-site scripting (XSS) [SEP] Stored cross-site scripting (XSS) was possible in activity details.,1
CVE-2023-2302,"The Contact Form and Calls To Action by vcita plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'email' parameter in versions up to, and including, 2.6.4 due to insufficient input sanitization and output escaping.",Calls To Action by vcita plugin for WordPress,"Calls To Action by vcita plugin for WordPress [SEP] The Contact Form and Calls To Action by vcita plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'email' parameter in versions up to, and including, 2.6.4 due to insufficient input sanitization and output escaping.",0
CVE-2017-0627,This issue is rated as Moderate because it first requires compromising a privileged process.,This issue rated as Moderate because it first requires compromising a privileged process,This issue rated as Moderate because it first requires compromising a privileged process [SEP] This issue is rated as Moderate because it first requires compromising a privileged process.,1
CVE-2020-5245,The issue has been fixed in dropwizard-validation 1.3.19 and 2.0.2.,The issue fixed in dropwizard-validation 1.3.19 and 2.0.2,The issue fixed in dropwizard-validation 1.3.19 and 2.0.2 [SEP] The issue has been fixed in dropwizard-validation 1.3.19 and 2.0.2.,0
CVE-2020-15565,"Only x86 HVM guests using hardware assisted paging (HAP), having a passed through PCI device assigned, and having page table sharing enabled can leverage the vulnerability.","Only x86 HVM guests using hardware assisted paging (HAP), having a passed through PCI device assigned, and having page table sharing enabled can leverage the vulnerability","Only x86 HVM guests using hardware assisted paging (HAP), having a passed through PCI device assigned, and having page table sharing enabled can leverage the vulnerability",0
CVE-2016-0011,"Microsoft SharePoint Server 2013 SP1 and SharePoint Foundation 2013 SP1 allow remote authenticated users to bypass intended Access Control Policy restrictions and conduct cross-site scripting (XSS) attacks by modifying a webpart, aka ""Microsoft SharePoint Security Feature Bypass,"" a different vulnerability than CVE-2015-6117.",intended Access Control Policy restrictions,"intended Access Control Policy restrictions [SEP] Microsoft SharePoint Server 2013 SP1 and SharePoint Foundation 2013 SP1 allow remote authenticated users to bypass intended Access Control Policy restrictions and conduct cross-site scripting (XSS) attacks by modifying a webpart, aka ""Microsoft SharePoint Security Feature Bypass,"" a different vulnerability than CVE-2015-6117.",0
CVE-2023-44826,Cross Site Scripting vulnerability in ZenTaoPMS v.18.6 allows a local attacker to obtain sensitive information via a crafted script.,a local attacker obtain sensitive information via a crafted script,a local attacker obtain sensitive information via a crafted script [SEP] Cross Site Scripting vulnerability in ZenTaoPMS v.18.6 allows a local attacker to obtain sensitive information via a crafted script.,1
CVE-2024-1635,"Because WriteTimeoutStreamSinkConduit creates a timeout task, the whole dependency tree leaks via that task, which is added to XNIO WorkerThread.",that task which added to XNIO WorkerThread,"that task which added to XNIO WorkerThread [SEP] Because WriteTimeoutStreamSinkConduit creates a timeout task, the whole dependency tree leaks via that task, which is added to XNIO WorkerThread.",0
CVE-2013-0321,Cross-site scripting (XSS) vulnerability in Views in the Ubercart Views (uc_views) module 6.x before 6.x-3.3 for Drupal allows remote attackers to inject arbitrary web script or HTML via the full name field.,Cross-site scripting (XSS) vulnerability in Views in the Ubercart Views (uc_views) module 6.x before 6.x-3.3 for Drupal allows remote attackers to inject arbitrary web script or HTML via the full name field,Cross-site scripting (XSS) vulnerability in Views in the Ubercart Views (uc_views) module 6.x before 6.x-3.3 for Drupal allows remote attackers to inject arbitrary web script or HTML via the full name field,1
CVE-2014-2689,Cross-site scripting (XSS) vulnerability in Offiria 2.1.0 and earlier allows remote attackers to inject arbitrary web script or HTML via the PATH_INFO to installer/index.php.,remote attackers inject arbitrary web script or HTML via the PATH_INFO to installer / index.php,remote attackers inject arbitrary web script or HTML via the PATH_INFO to installer / index.php [SEP] Cross-site scripting (XSS) vulnerability in Offiria 2.1.0 and earlier allows remote attackers to inject arbitrary web script or HTML via the PATH_INFO to installer/index.php.,1
CVE-2021-1436,A successful exploit could allow the attacker to view arbitrary files on the affected system.,A successful exploit could allow the attacker to view arbitrary files on the affected system,A successful exploit could allow the attacker to view arbitrary files on the affected system,1
CVE-2008-1537,Directory traversal vulnerability in pb_inc/admincenter/index.php in PowerScripts PowerBook 1.21 allows remote attackers to include and execute arbitrary local files via a ..  (dot dot) in the page parameter.,remote attackers execute arbitrary local files via a .. (dot dot) in the page parameter,remote attackers execute arbitrary local files via a .. (dot dot) in the page parameter [SEP] Directory traversal vulnerability in pb_inc/admincenter/index.php in PowerScripts PowerBook 1.21 allows remote attackers to include and execute arbitrary local files via a ..  (dot dot) in the page parameter.,1
CVE-2022-0450,"The Menu Image, Icons made easy WordPress plugin before 3.0.6 does not have authorisation and CSRF checks when saving menu settings, and does not validate, sanitise and escape them.",made easy WordPress plugin before 3.0.6,"made easy WordPress plugin before 3.0.6 [SEP] The Menu Image, Icons made easy WordPress plugin before 3.0.6 does not have authorisation and CSRF checks when saving menu settings, and does not validate, sanitise and escape them.",0
