Hash_SHA256,Attack_Pattern,Context,TPs,FPs,FNs
9ef054a0df1e0db0b9cfbd6d2f51bd74fd1dc35cc48274ae748330a8a4497f4b,"Given the volume, duration and type of attack activity we have observed APT1 operators would need to be directly supported by linguists, open source researchers, malware authors, industry experts who translate task requests from requestors to the operators, and people who then transmit stolen information to the requestors"," −» 613 (99.8%) were registered to one of four Shanghai net blocks. The size of APT1’s infrastructure implies a large organization with at least dozens, but potentially hundreds of human operators. We conservatively estimate that APT1’s current attack infrastructure includes over 1,000 servers. Given the volume, duration and type of attack activity we have observed, APT1 operators would need to be directly supported by linguists, open source researchers, malware authors, industry experts who translate task requests from requestors to the operators, and people who then transmit stolen information to the requestors. APT1 would also need a sizable IT staff dedicated to acquiring and maintaining computer equipment, people who handle finances, facility management, and logistics (e.g., shipping). In an effort to underscore that there are actual individuals behind the keyboard, Mandiant is revealing three personas that are associated with APT1 activity. The first persona, “UglyGorilla”, has been active in computer network operations since October 2004.",[],"['T1102.002', 'T1059', 'T1071.001', 'T1132.001', 'T1518.001']",['T1119']
0ebaf08c85df769c8749b789740a14df24b2599242af2d62d5a354ed992cae29,"APT1 operators directly supported by linguists, open source researchers, malware authors, industry experts who translate task requests from requestors to the operators, and people who then transmit stolen information to the requestors"," −» 613 (99.8%) were registered to one of four Shanghai net blocks. The size of APT1’s infrastructure implies a large organization with at least dozens, but potentially hundreds of human operators. We conservatively estimate that APT1’s current attack infrastructure includes over 1,000 servers. Given the volume, duration and type of attack activity we have observed, APT1 operators would need to be directly supported by linguists, open source researchers, malware authors, industry experts who translate task requests from requestors to the operators, and people who then transmit stolen information to the requestors. APT1 would also need a sizable IT staff dedicated to acquiring and maintaining computer equipment, people who handle finances, facility management, and logistics (e.g., shipping). In an effort to underscore that there are actual individuals behind the keyboard, Mandiant is revealing three personas that are associated with APT1 activity. The first persona, “UglyGorilla”, has been active in computer network operations since October 2004.",[],"['T1102.002', 'T1059', 'T1132.001', 'T1518.001']",['T1119']
5c5f0f999fab81b5f01a757b733bbe105cf54ee3cdd198a9a74ff598b1c0c614,people who then transmit stolen information to the requestors," −» 613 (99.8%) were registered to one of four Shanghai net blocks. The size of APT1’s infrastructure implies a large organization with at least dozens, but potentially hundreds of human operators. We conservatively estimate that APT1’s current attack infrastructure includes over 1,000 servers. Given the volume, duration and type of attack activity we have observed, APT1 operators would need to be directly supported by linguists, open source researchers, malware authors, industry experts who translate task requests from requestors to the operators, and people who then transmit stolen information to the requestors. APT1 would also need a sizable IT staff dedicated to acquiring and maintaining computer equipment, people who handle finances, facility management, and logistics (e.g., shipping). In an effort to underscore that there are actual individuals behind the keyboard, Mandiant is revealing three personas that are associated with APT1 activity. The first persona, “UglyGorilla”, has been active in computer network operations since October 2004.",[],"['T1102.002', 'T1132.001', 'T1518.001']",['T1119']
1139db8c0ac69a09dac339878fea4fbf09dc4ca082834ab17f26b6cdf3253bc2,stolen information," −» 613 (99.8%) were registered to one of four Shanghai net blocks. The size of APT1’s infrastructure implies a large organization with at least dozens, but potentially hundreds of human operators. We conservatively estimate that APT1’s current attack infrastructure includes over 1,000 servers. Given the volume, duration and type of attack activity we have observed, APT1 operators would need to be directly supported by linguists, open source researchers, malware authors, industry experts who translate task requests from requestors to the operators, and people who then transmit stolen information to the requestors. APT1 would also need a sizable IT staff dedicated to acquiring and maintaining computer equipment, people who handle finances, facility management, and logistics (e.g., shipping). In an effort to underscore that there are actual individuals behind the keyboard, Mandiant is revealing three personas that are associated with APT1 activity. The first persona, “UglyGorilla”, has been active in computer network operations since October 2004.",[],"['T1102.002', 'T1132.001']",[]
247fcff167fc046cab0772c7310f8b832efea68447949e504601325e54b73693,His activities include registering domains attributed to APT1 and authoring malware used in APT1 campaigns," APT1 would also need a sizable IT staff dedicated to acquiring and maintaining computer equipment, people who handle finances, facility management, and logistics (e.g., shipping). In an effort to underscore that there are actual individuals behind the keyboard, Mandiant is revealing three personas that are associated with APT1 activity. The first persona, “UglyGorilla”, has been active in computer network operations since October 2004. His activities include registering domains attributed to APT1 and authoring malware used in APT1 campaigns. “UglyGorilla” publicly expressed his interest in China’s “cyber troops” in January 2004. The second persona, an actor we call “DOTA”, has registered dozens of email accounts used to conduct social engineering and spear phishing attacks in support of APT1 campaigns. “DOTA” used a Shanghai phone number while registering these accounts.",[],"['T1102.002', 'T1106', 'T1027.002', 'T1071.004', 'T1027.005', 'T1036', 'T1203', 'T1564.003', 'T1059.007', 'T1204.001']",[]
904bdfdac0a7b5e6ebddae1dff4d6655f18b42f69560c15ea2034bebfb09d017,registering domains attributed to APT1," APT1 would also need a sizable IT staff dedicated to acquiring and maintaining computer equipment, people who handle finances, facility management, and logistics (e.g., shipping). In an effort to underscore that there are actual individuals behind the keyboard, Mandiant is revealing three personas that are associated with APT1 activity. The first persona, “UglyGorilla”, has been active in computer network operations since October 2004. His activities include registering domains attributed to APT1 and authoring malware used in APT1 campaigns. “UglyGorilla” publicly expressed his interest in China’s “cyber troops” in January 2004. The second persona, an actor we call “DOTA”, has registered dozens of email accounts used to conduct social engineering and spear phishing attacks in support of APT1 campaigns. “DOTA” used a Shanghai phone number while registering these accounts.",[],"['T1102.002', 'T1071.004', 'T1036']",[]
eaaf9af903e635995f4e24e39f56da1f22b77253285747395cebf845f97e3265,domains attributed to APT1," APT1 would also need a sizable IT staff dedicated to acquiring and maintaining computer equipment, people who handle finances, facility management, and logistics (e.g., shipping). In an effort to underscore that there are actual individuals behind the keyboard, Mandiant is revealing three personas that are associated with APT1 activity. The first persona, “UglyGorilla”, has been active in computer network operations since October 2004. His activities include registering domains attributed to APT1 and authoring malware used in APT1 campaigns. “UglyGorilla” publicly expressed his interest in China’s “cyber troops” in January 2004. The second persona, an actor we call “DOTA”, has registered dozens of email accounts used to conduct social engineering and spear phishing attacks in support of APT1 campaigns. “DOTA” used a Shanghai phone number while registering these accounts.",[],['T1102.002'],[]
e1563700edd555a42b15f4e478ad59324ed1febe772b67d5a280870e9a3d3b6e,malware used in APT1 campaigns," APT1 would also need a sizable IT staff dedicated to acquiring and maintaining computer equipment, people who handle finances, facility management, and logistics (e.g., shipping). In an effort to underscore that there are actual individuals behind the keyboard, Mandiant is revealing three personas that are associated with APT1 activity. The first persona, “UglyGorilla”, has been active in computer network operations since October 2004. His activities include registering domains attributed to APT1 and authoring malware used in APT1 campaigns. “UglyGorilla” publicly expressed his interest in China’s “cyber troops” in January 2004. The second persona, an actor we call “DOTA”, has registered dozens of email accounts used to conduct social engineering and spear phishing attacks in support of APT1 campaigns. “DOTA” used a Shanghai phone number while registering these accounts.",[],"['T1102.002', 'T1056.001', 'T1106', 'T1027.002', 'T1036', 'T1203', 'T1564.003', 'T1059.007', 'T1204.001']",[]
1513812c6850b327b366f99a02328b6847d9e745588e682eac1d11c5b045fea6,"The second persona, an actor we call “ DOTA ” registered dozens of email accounts used to conduct social engineering and spear phishing attacks in support of APT1 campaigns"," The first persona, “UglyGorilla”, has been active in computer network operations since October 2004. His activities include registering domains attributed to APT1 and authoring malware used in APT1 campaigns. “UglyGorilla” publicly expressed his interest in China’s “cyber troops” in January 2004. The second persona, an actor we call “DOTA”, has registered dozens of email accounts used to conduct social engineering and spear phishing attacks in support of APT1 campaigns. “DOTA” used a Shanghai phone number while registering these accounts. We have observed both the “UglyGorilla” persona and the “DOTA” persona using the same shared infrastructure, including FQDNs and IP ranges that we have attributed to APT1. The third persona, who uses the nickname “SuperHard,” is the creator or a significant contributor to the AURIGA and BANGAT malware families which we have observed APT1 and other APT groups use.",[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1106', 'T1132.001', 'T1027.005', 'T1203', 'T1059.007', 'T1204.001', 'T1189']",[]
06189e7d70c1a0f44ef2dea2d76e081fb8c53473ba447620dcac65cdf5cd8955,email accounts used to conduct social engineering and spear phishing attacks in support of APT1 campaigns," The first persona, “UglyGorilla”, has been active in computer network operations since October 2004. His activities include registering domains attributed to APT1 and authoring malware used in APT1 campaigns. “UglyGorilla” publicly expressed his interest in China’s “cyber troops” in January 2004. The second persona, an actor we call “DOTA”, has registered dozens of email accounts used to conduct social engineering and spear phishing attacks in support of APT1 campaigns. “DOTA” used a Shanghai phone number while registering these accounts. We have observed both the “UglyGorilla” persona and the “DOTA” persona using the same shared infrastructure, including FQDNs and IP ranges that we have attributed to APT1. The third persona, who uses the nickname “SuperHard,” is the creator or a significant contributor to the AURIGA and BANGAT malware families which we have observed APT1 and other APT groups use.",[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1056.001', 'T1106', 'T1132.001', 'T1027.005', 'T1059.007', 'T1204.001', 'T1189', 'T1555.003']",[]
32494a892a56f28d7564129799a00f18ccf21baef427e5ce507b63d8759edb11,conduct social engineering and spear phishing attacks in support of APT1 campaigns," The first persona, “UglyGorilla”, has been active in computer network operations since October 2004. His activities include registering domains attributed to APT1 and authoring malware used in APT1 campaigns. “UglyGorilla” publicly expressed his interest in China’s “cyber troops” in January 2004. The second persona, an actor we call “DOTA”, has registered dozens of email accounts used to conduct social engineering and spear phishing attacks in support of APT1 campaigns. “DOTA” used a Shanghai phone number while registering these accounts. We have observed both the “UglyGorilla” persona and the “DOTA” persona using the same shared infrastructure, including FQDNs and IP ranges that we have attributed to APT1. The third persona, who uses the nickname “SuperHard,” is the creator or a significant contributor to the AURIGA and BANGAT malware families which we have observed APT1 and other APT groups use.",[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1056.001', 'T1106', 'T1132.001', 'T1027.005', 'T1059.007', 'T1204.001', 'T1189']",[]
57c5a3710127125bc1a8a3aa15008de1dedc9ecfb8b0768ecc40d7ebdf982fbd,dozens of email accounts spear phishing attacks in support of APT1 campaigns," The first persona, “UglyGorilla”, has been active in computer network operations since October 2004. His activities include registering domains attributed to APT1 and authoring malware used in APT1 campaigns. “UglyGorilla” publicly expressed his interest in China’s “cyber troops” in January 2004. The second persona, an actor we call “DOTA”, has registered dozens of email accounts used to conduct social engineering and spear phishing attacks in support of APT1 campaigns. “DOTA” used a Shanghai phone number while registering these accounts. We have observed both the “UglyGorilla” persona and the “DOTA” persona using the same shared infrastructure, including FQDNs and IP ranges that we have attributed to APT1. The third persona, who uses the nickname “SuperHard,” is the creator or a significant contributor to the AURIGA and BANGAT malware families which we have observed APT1 and other APT groups use.",[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1106', 'T1132.001', 'T1027.005', 'T1059.007', 'T1204.001', 'T1189', 'T1555.003']",[]
390957b83d82b8425b0f1febe5800ef631d324ddd0de75aab3fd76f7a3e17874,As with most other APT groups spear phishing is APT1 ’s most commonly used technique," In each stage we will discuss APT1’s specific techniques to illustrate their tenacity and the scale at which they operate. (See Appendix B: “APT and the Attack Lifecycle” for a high-level overview of the steps most APT groups take in each stage of the Attack Lifecycle.). The Initial Compromise represents the methods intruders use to first penetrate a target organization’s network. As with most other APT groups, spear phishing is APT1’s most commonly used technique. The spear phishing emails contain either a malicious attachment or a hyperlink to a malicious file. The subject line and the text in the email body are usually relevant to the recipient. APT1 also creates webmail accounts using real peoples’ names — names that are familiar to the recipient, such as a colleague, a company executive, an IT department employee, or company counsel — and uses these accounts to send the emails.",[],"['T1027', 'T1204.002', 'T1027.005', 'T1203', 'T1059.007', 'T1204.001', 'T1189', 'T1059.005']",[]
f3452b1a223eea2885e2628bc539c4cf876e2787fbd9931b659b1de61c585343,The spear phishing emails contain either a malicious attachment or a hyperlink to a malicious file," (See Appendix B: “APT and the Attack Lifecycle” for a high-level overview of the steps most APT groups take in each stage of the Attack Lifecycle.). The Initial Compromise represents the methods intruders use to first penetrate a target organization’s network. As with most other APT groups, spear phishing is APT1’s most commonly used technique. The spear phishing emails contain either a malicious attachment or a hyperlink to a malicious file. The subject line and the text in the email body are usually relevant to the recipient. APT1 also creates webmail accounts using real peoples’ names — names that are familiar to the recipient, such as a colleague, a company executive, an IT department employee, or company counsel — and uses these accounts to send the emails. As a real-world example, this is an email that APT1 sent to Mandiant employees:.",[],"['T1102.002', 'T1059', 'T1204.002', 'T1132.001', 'T1027.005', 'T1036', 'T1203', 'T1059.007', 'T1204.001', 'T1189', 'T1059.005']",[]
7e7329958d0b16586b6dfd9914cf545171d4d7f08a1c8adc55b58278ce8992a2,"APT1 also creates webmail accounts using real peoples ’ names — names that are familiar to the recipient, such as a colleague, a company executive, an IT department employee, or company counsel —"," As with most other APT groups, spear phishing is APT1’s most commonly used technique. The spear phishing emails contain either a malicious attachment or a hyperlink to a malicious file. The subject line and the text in the email body are usually relevant to the recipient. APT1 also creates webmail accounts using real peoples’ names — names that are familiar to the recipient, such as a colleague, a company executive, an IT department employee, or company counsel — and uses these accounts to send the emails. As a real-world example, this is an email that APT1 sent to Mandiant employees:. FIGURE 15: APT1 Spear Phishing Email At first glance, the email appeared to be from Mandiant’s CEO, Kevin Mandia. However, further scrutiny shows that the email was not sent from a Mandiant email account, but from “kevin.mandia@rocketmail.com”.",[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1036', 'T1059.007', 'T1204.001', 'T1189']",[]
8d8d8efbdddc129aa540f27a6084818776d66dbee8c2cac3d14d5fe6b988b1c6,APT1 also uses these accounts to send the emails," As with most other APT groups, spear phishing is APT1’s most commonly used technique. The spear phishing emails contain either a malicious attachment or a hyperlink to a malicious file. The subject line and the text in the email body are usually relevant to the recipient. APT1 also creates webmail accounts using real peoples’ names — names that are familiar to the recipient, such as a colleague, a company executive, an IT department employee, or company counsel — and uses these accounts to send the emails. As a real-world example, this is an email that APT1 sent to Mandiant employees:. FIGURE 15: APT1 Spear Phishing Email At first glance, the email appeared to be from Mandiant’s CEO, Kevin Mandia. However, further scrutiny shows that the email was not sent from a Mandiant email account, but from “kevin.mandia@rocketmail.com”.",[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1059.007', 'T1189', 'T1555.003']",[]
adfa9dc8900d5e0fa6e2e0b9a3c8b8590430b7420922b8ffa2485abec9243896,APT1 send the emails," As with most other APT groups, spear phishing is APT1’s most commonly used technique. The spear phishing emails contain either a malicious attachment or a hyperlink to a malicious file. The subject line and the text in the email body are usually relevant to the recipient. APT1 also creates webmail accounts using real peoples’ names — names that are familiar to the recipient, such as a colleague, a company executive, an IT department employee, or company counsel — and uses these accounts to send the emails. As a real-world example, this is an email that APT1 sent to Mandiant employees:. FIGURE 15: APT1 Spear Phishing Email At first glance, the email appeared to be from Mandiant’s CEO, Kevin Mandia. However, further scrutiny shows that the email was not sent from a Mandiant email account, but from “kevin.mandia@rocketmail.com”.",[],['T1204.002'],['T1036.005']
f9c084bb43daa8a10b77bb7322f8e998a7cccc54d9e2822c063d1a140635ed78,As a real-world example this is an email that APT1 sent to Mandiant employees," The spear phishing emails contain either a malicious attachment or a hyperlink to a malicious file. The subject line and the text in the email body are usually relevant to the recipient. APT1 also creates webmail accounts using real peoples’ names — names that are familiar to the recipient, such as a colleague, a company executive, an IT department employee, or company counsel — and uses these accounts to send the emails. As a real-world example, this is an email that APT1 sent to Mandiant employees:. FIGURE 15: APT1 Spear Phishing Email At first glance, the email appeared to be from Mandiant’s CEO, Kevin Mandia. However, further scrutiny shows that the email was not sent from a Mandiant email account, but from “kevin.mandia@rocketmail.com”. Rocketmail is a free webmail service.",[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1132.001', 'T1036', 'T1203', 'T1059.007', 'T1204.001', 'T1059.005']",['T1036.005']
6fc15670a0be52b0a889bc49aeae02a795daec8f022e5698efd200e5693f99cc,an email that APT1 sent to Mandiant employees," The spear phishing emails contain either a malicious attachment or a hyperlink to a malicious file. The subject line and the text in the email body are usually relevant to the recipient. APT1 also creates webmail accounts using real peoples’ names — names that are familiar to the recipient, such as a colleague, a company executive, an IT department employee, or company counsel — and uses these accounts to send the emails. As a real-world example, this is an email that APT1 sent to Mandiant employees:. FIGURE 15: APT1 Spear Phishing Email At first glance, the email appeared to be from Mandiant’s CEO, Kevin Mandia. However, further scrutiny shows that the email was not sent from a Mandiant email account, but from “kevin.mandia@rocketmail.com”. Rocketmail is a free webmail service.",[],"['T1204.002', 'T1203', 'T1059.007', 'T1204.001']",[]
5304693cc1e75001ac40d51b0cf3882fa3f5edd3e65c424cedf15954bead0b2b,spear phishing," However, further scrutiny shows that the email was not sent from a Mandiant email account, but from “kevin.mandia@rocketmail.com”. Rocketmail is a free webmail service. The account “kevin.mandia@rocketmail.com” does not belong to Mr. Mandia. Rather, an APT1 actor likely signed up for the account specifically for this spear phishing event. If anyone had clicked on the link that day (which no one did, thankfully), their computer would have downloaded a malicious ZIP file named “Internal_ Discussion_Press_Release_In_Next_Week8.zip”. This file contained a malicious executable that installs a custom APT1 backdoor that we call WEBC2-TABLE. Although the files that APT1 actors attach or link to spear phishing emails are not always in ZIP format, this is the predominant trend we have observed in the last several years.",[],"['T1071.001', 'T1204.002', 'T1132.001', 'T1036', 'T1203', 'T1059.007', 'T1204.001', 'T1189', 'T1059.005']",[]
cadf5c23dd50bbb7d9ec064818f9701fd93be81781d845ec4855f6d421795b31,"If anyone had clicked on the link that day (which no one did, thankfully) their computer would downloaded a malicious ZIP file named “ Internal _ Discussion_Press_Release_In_Next_Week8.zip ”"," Rocketmail is a free webmail service. The account “kevin.mandia@rocketmail.com” does not belong to Mr. Mandia. Rather, an APT1 actor likely signed up for the account specifically for this spear phishing event. If anyone had clicked on the link that day (which no one did, thankfully), their computer would have downloaded a malicious ZIP file named “Internal_ Discussion_Press_Release_In_Next_Week8.zip”. This file contained a malicious executable that installs a custom APT1 backdoor that we call WEBC2-TABLE. Although the files that APT1 actors attach or link to spear phishing emails are not always in ZIP format, this is the predominant trend we have observed in the last several years. Below is a sampling of file names that APT1 has used with their malicious ZIP files:.",[],"['T1059', 'T1071.001', 'T1059.001', 'T1204.002', 'T1106', 'T1132.001', 'T1027.005', 'T1036', 'T1105', 'T1027.001', 'T1203', 'T1140', 'T1059.007', 'T1204.001', 'T1189', 'T1059.005']",[]
